&	38
ê	234
ü	252
ė	279
ň	328
ʔ	660
͜	860
͡	865
ф	1092
ᴉ	7433
Ṅ	7748
‟	8223
₦	8358
~	126
Ù	217
Β	914
Z	90
_	95
`	96
 	160
â	226
ı	305
ɛ	603
ʧ	679
е	1077
ý	253
ʤ	676
ᴊ	7434
‑	8209
Q	81
—	8212
	62043
Ú	218
õ	245
ɓ	595
ɲ	626
]	93
ɾ	638
ạ	7841
ɣ	611
L	76
[	91
ñ	241
ʃ	643
ĥ	293
β	946
F	70
V	86
;	59
R	82
ã	227
ḷ	7735
Ẹ	7864
ɔ	596
Í	205
∂	8706
ŋ	331
ɱ	625
ʊ	650
ḍ	7693
Á	193
P	80
Ì	204
ɪ	618
T	84
Ò	210
S	83
È	200
/	47
ǝ	477
J	74
Ó	211
ṁ	7745
É	201
q	113
B	66
ṛ	7771
W	87
G	71
C	67
U	85
À	192
K	75
Y	89
Ụ	7908
D	68
!	33
ṭ	7789
H	72
ɦ	614
ə	601
Ị	7882
”	8221
ӡ	1249
“	8220
ʒ	658
ә	1241
I	73
–	8211
M	77
ṅ	7749
?	63
O	79
̃	771
Ọ	7884
E	69
N	78
)	41
ẹ	7865
(	40
ú	250
ó	243
v	118
í	237
é	233
á	225
f	102
8	56
7	55
6	54
́	769
9	57
'	39
ù	249
ò	242
z	122
ì	236
c	99
.	46
,	44
j	106
5	53
4	52
p	112
3	51
A	65
s	115
2	50
t	116
r	114
d	100
1	49
l	108
u	117
è	232
g	103
o	111
y	121
̀	768
ị	7883
b	98
m	109
w	119
à	224
k	107
		9
̄	772
i	105
ọ	7885
-	45
h	104
ụ	7909
0	48
:	58
e	101
n	110
x	120
a	97
 	32
