4.99083,7.05444	4.99083,7.05444

4.99083,7.05444	5.0131,7.0688
5	[i*ị]	5673
4	[ụ*a]	7173
3	[s*l]	21530
3	[+ị]	41
2	[s*gh]	21544
2	[s*r]	21531
2	[k*j]	9738
2	[d*s]	9258
2	[-ụ]	7168
2	[b*kw]	6673
2	[b*ny]	6672
2	[i*ọ]	5653
2	[y*ny]	3088
2	[+h]	20
2	[+n]	4
1	[bhh*ny]	39952
1	[ṅ*h]	30740
1	[bh*kp]	29213
1	[p*b]	28173
1	[Ị*n]	25092
1	[kh*nw]	24100
1	[M*K]	23605
1	[A*Nw]	23099
1	[A*Ọ]	23078
1	[A*ọ]	23061
1	[gw*o]	22543
1	[s*nw]	21540
1	[s*m]	21529
1	[s*j]	21514
1	[ị*gb]	21023
1	[ị*o]	21007
1	[gh*th]	20547
1	[gh*nw]	20516
1	[t*p]	18999
1	[t*gw]	18988
1	[t*s]	18986
1	[t*gh]	18984
1	[t*kp]	18973
1	[t*ny]	18960
1	[t*b]	18957
1	[-t]	18944
1	[z*t]	17957
1	[z*nw]	17956
1	[z*r]	17947
1	[z*b]	17933
1	[N*d]	17426
1	[f*s]	16426
1	[gb*kh]	15919
1	[gb*r]	15899
1	[gb*kw]	15889
1	[r*p]	13879
1	[r*f]	13856
1	[r*sh]	13852
1	[r*ch]	13847
1	[r*kw]	13841
1	[r*b]	13837
1	[-r]	13824
1	[l*kp]	13341
1	[l*ch]	13335
1	[l*d]	13330
1	[l*b]	13325
1	[m*gw]	12844
1	[m*t]	12837
1	[m*u]	12830
1	[m*l]	12826
1	[m*h]	12820
1	[w*gh]	12328
1	[w*nw]	12324
1	[w*l]	12314
1	[w*ch]	12311
1	[w*b]	12301
1	[ch*h]	11796
1	[ch*kw]	11793
1	[ọ*n]	10756
1	[h*p]	10295
1	[h*s]	10282
1	[h*t]	10277
1	[h*f]	10272
1	[h*sh]	10268
1	[h*l]	10266
1	[h*g]	10252
1	[k*s]	9770
1	[k*gh]	9768
1	[k*t]	9765
1	[k*b]	9741
1	[k*n]	9732
1	[d*nw]	9252
1	[d*l]	9242
1	[d*m]	9241
1	[d*k]	9235
1	[d*b]	9229
1	[d*y]	9222
1	[kw*s]	8746
1	[kw*kp]	8733
1	[kw*d]	8722
1	[ny*Ny]	8272
1	[o*è]	7772
1	[o*ị]	7721
1	[o*N]	7714
1	[o*u]	7710
1	[o*e]	7689
1	[ụ*gw]	7212
1	[b*nw]	6692
1	[g*r]	6171
1	[g*k]	6163
1	[g*b]	6157
1	[i*I]	5686
1	[i*m]	5657
1	[i*w]	5656
1	[i*E]	5654
1	[i*j]	5642
1	[i*a]	5637
1	[-i]	5632
1	[j*sh]	5148
1	[j*l]	5146
1	[j*ch]	5143
1	[j*k]	5139
1	[j*y]	5126
1	[j*n]	5124
1	[e*u]	4638
1	[e*n]	4612
