Coordinates:	5.3999,7.0167
70.5781	,%
30.6667	y%ā%
26.9795	i%h%e%
24.321	n%'%
24.1731	g%ị%
23.999	y%a%
18.4982	-%
14.0707	e%
11.4885	n%à%
11.3456	a%h%ụ̀%
11.2739	w%ụ̄%
10.8157	j%ì%
10.6037	m%à%
10.1946	ǹ%k%e%
9.46595	m%
9.34409	ọ%w%ụ̄%
8.80952	w%ụ%
8.383	n%d%ị%
7.73118	à%kp%ọ%
7.49462	i%m%e%
7.42652	a%y%ị%
6.95801	è%
6.35791	à%b%ụ%ọ̄%
6.03379	ụ%kw%ụ̄%
5.62366	ị%
5.47977	ọ%
5.46595	n%ọ̀%
5.43369	e%j%ì%
5.41475	m̄%
5.28111	ǹ%k%è%
4.86738	ā%h%ụ̄%
4.85305	ǹ%g%à%
4.71326	a%f%ọ̄%
4.58781	g%ị̄%
4.56836	ọ%ọ̄%
4.51152	o%ny%e%
4.35125	j%ì%r%ì%
4.32616	o%b%ì%
4.31183	r%ị̀%
4.25192	m%m%a%d%ụ̀%
4.23041	n%a%-%
4.1874	ọ̄%z%ọ̄%
4.17768	ọ%n%ụ̄%
4.1321	m̄%m%ā%d%ụ̀%
4.05018	a%k%ā%
3.83564	à%l%à%
3.72913	à%h%ụ%
3.72401	o%t%ù%
3.70148	ē%
3.66769	nw%e%kw%a%n%ụ%
3.45622	i%r%e%
3.45469	i%sh%i%
3.38658	sh%i%
3.3661	a%ny%ị%
3.36406	e%b%e%
3.33487	à%y%ị%
3.29493	o%
3.22478	i%
3.19662	à%
3.19355	a%k%à%
3.11623	a%ny%a%
3.1106	ụ%kw%ụ%
3.06144	n%d%e%
3.04967	ch%i%n%ē%ē%k%è%
2.92371	ụ̀%f%ọ%d%ụ%
2.92166	n%ọ%
2.83257	m̀%
2.81004	m%m%ā%
2.73579	e%w%ū%
2.72965	i%ch%è%
2.67742	d%e%è%n%ù%
2.65899	a%ny%à%
2.64055	à%gb%a%a%
2.61137	i%h%ì%n%à%
2.58372	r%ị̄%
2.55709	e%r%i%r%i%
2.51767	nw%e%e%
2.42755	k%ē%
2.41577	ọ̀%z%ọ%
2.41065	i%h%u%
2.39939	a%
2.35791	e%nw%è%r%è%
2.31183	e%e%
2.298	m%kp%ụ%r%ụ%
2.27906	l%e%e%
2.24885	ǹ%k%e%à%
2.21505	i%k%e%
2.1828	i%sh%ī%
2.17204	ā%k%ā%r%ị̄%
2.1659	à%kp%ọ̀%
2.15924	a%ny%ā%
2.15873	n%t%ị̀%
2.15515	ā%hw%ụ̄%
2.12596	g%à%-%à%hw%ụ%
2.12033	a%k%a%
2.11674	e%z%ē%
2.05325	ọ̀%
2.04916	k%à%
2.04506	w%ụ%r%ụ%
2.03277	à%b%à%
